country,longitude,latitude
American Samoa,-170.747153,-14.326710
Cook Islands,-159.785675,-21.215993
Fiji,177.975427,-17.826099
French Polynesia,-149.461570,-17.628081
Guam,144.703614,13.354173
Kiribati,-157.384577,1.820437
Marshall Islands,171.193609,7.082568
Micronesia (Federated States of),158.234019,6.887553
Nauru,166.932644,-0.520261
New Caledonia,165.084004,-21.064697
Niue,-169.862565,-19.045956
Northern Mariana Islands,145.734397,15.188188
Palau,134.580157,7.518252
Papua New Guinea,143.910216,-5.695285
Samoa,-172.438241,-13.639139
Solomon Islands,159.170468,-8.029548
Tokelau,-172.486290,-8.561824
Tonga,-175.163014,-21.210026
Tuvalu,179.209587,-8.513717
Vanuatu,166.908762,-15.371530
Wallis and Futuna,-178.137436,-14.286415
